bigram;freq;percentile_100;freq10;freq20;freq30_50
yf;14;36;;;LF
yg;22;40;;;LF
yh;15;37;;;LF
yi;78;52;;;
yj;3;25;;;LF
yk;0;0;LF;LF;LF
yl;113;56;;;
ym;143;60;;;
yn;93;54;;;
yo;86;53;;;
yp;120;57;;;
yq;0;0;LF;LF;LF
yr;75;52;;;
ys;177;63;;;
yt;50;48;;;LF
yu;8;32;;;LF
yv;1;17;;LF;LF
yw;31;43;;;LF
yx;10;33;;;LF
yy;0;0;LF;LF;LF
yz;0;0;LF;LF;LF
za;53;49;;;LF
zb;0;0;LF;LF;LF
zc;0;0;LF;LF;LF
zd;0;0;LF;LF;LF
ze;191;63;;;
zf;0;0;LF;LF;LF
zg;0;0;LF;LF;LF
zh;0;0;LF;LF;LF
zi;84;53;;;
zj;0;0;LF;LF;LF
zk;0;0;LF;LF;LF
zl;42;46;;;LF
zm;0;0;LF;LF;LF
zn;1;17;;LF;LF
zo;61;50;;;
zp;0;0;LF;LF;LF
zq;0;0;LF;LF;LF
zr;0;0;LF;LF;LF
zs;0;0;LF;LF;LF
zt;0;0;LF;LF;LF
zu;8;32;;;LF
zv;2;23;;;LF
zw;0;0;LF;LF;LF
zx;0;0;LF;LF;LF
zy;27;43;;;LF
zz;82;53;;;
