bigram;freq;percentile_100;freq10;freq20;freq30_50
yu;232;2,71;;;LF
yv;4449;4,64;;;LF
yw;287;2,83;;;LF
yx;5481;4,87;;;LF
yy;452;3,13;;;LF
yz;26;1,39;;LF;LF
za;2153;4,05;;;LF
zä;5;0,66;LF;LF;LF
zb;13;1,07;;LF;LF
zc;2;0,22;LF;LF;LF
zd;2;0,22;LF;LF;LF
ze;1845;3,91;;;LF
zg;1;0;LF;LF;LF
zh;13;1,07;;LF;LF
zi;1726;3,85;;;LF
zj;1;0;LF;LF;LF
zk;17;1,16;;LF;LF
zl;58;1,75;;LF;LF
zm;22;1,29;;LF;LF
zn;27;1,42;;LF;LF
zo;1467;3,77;;;LF
zö;3;0,42;LF;LF;LF
zp;8;0,88;LF;LF;LF
zr;1;0;LF;LF;LF
zs;5;0,66;LF;LF;LF
zt;28;1,43;;LF;LF
zu;348;2,99;;;LF
zv;3;0,42;LF;LF;LF
zw;7;0,81;LF;LF;LF
zx;1;0;LF;LF;LF
zy;563;3,29;;;LF
zz;2237;4,1;;;LF
